work_id,composer,title,year,source,source_url,license,movement_index,parent_work_id,instrumentation_hint,era
bachjs-bwv1007-bwv1007-lys-bwv1007-viola,,BWV1007 bwv1007-lys,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1007/bwv1007/bwv1007-lys/bwv1007-viola.ly,Public Domain,,bachjs-bwv1007,,
bachjs-bwv1007-bwv1007-lys-bwv1007,,BWV1007 bwv1007-lys,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1007/bwv1007/bwv1007-lys/bwv1007.ly,Public Domain,,bachjs-bwv1007,,
bachjs-bwv1008-bwv1008-lys-bwv1008-viola,,BWV1008 bwv1008-lys,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1008/bwv1008/bwv1008-lys/bwv1008-viola.ly,Public Domain,,bachjs-bwv1008,,
bachjs-bwv1008-bwv1008-lys-bwv1008,,BWV1008 bwv1008-lys,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1008/bwv1008/bwv1008-lys/bwv1008.ly,Public Domain,,bachjs-bwv1008,,
bachjs-bwv1009-cellosuite3-lys-bwv1009-viola,,BWV1009 cellosuite3-lys,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1009/cellosuite3/cellosuite3-lys/bwv1009-viola.ly,Public Domain,,bachjs-bwv1009,Viola,
bachjs-bwv1009-cellosuite3-lys-cellosuite3,,BWV1009 cellosuite3-lys,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1009/cellosuite3/cellosuite3-lys/cellosuite3.ly,Public Domain,,bachjs-bwv1009,,
bachjs-bwv1010-bwv1010-lys-bwv1010-viola,,BWV1010 bwv1010-lys,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1010/bwv1010/bwv1010-lys/bwv1010-viola.ly,Public Domain,,bachjs-bwv1010,Viola,
bachjs-bwv1010-bwv1010-lys-bwv1010,,BWV1010 bwv1010-lys,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1010/bwv1010/bwv1010-lys/bwv1010.ly,Public Domain,,bachjs-bwv1010,,
bachjs-bwv1011-bwv1011-lys-bwv1011-viola-original,BachJS,Suite 5 for Cello Solo,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1011/bwv1011/bwv1011-lys/bwv1011-viola_original.ly,Public Domain,,bachjs-bwv1011,Cello,baroque
bachjs-bwv1011-bwv1011-lys-bwv1011,BachJS,Suite 5 for Cello Solo,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1011/bwv1011/bwv1011-lys/bwv1011.ly,Public Domain,,bachjs-bwv1011,Cello,baroque
bachjs-bwv1011-bwv1011-transposed-lys-bwv1011-viola-transposed,BachJS,Suite 5 for Cello Solo,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1011/bwv1011_transposed/bwv1011_transposed-lys/bwv1011-viola_transposed.ly,Public Domain,,bachjs-bwv1011,Cello,baroque
bachjs-bwv1011-bwv1011-transposed-lys-bwv1011-transposed,BachJS,Suite 5 for Cello Solo,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1011/bwv1011_transposed/bwv1011_transposed-lys/bwv1011_transposed.ly,Public Domain,,bachjs-bwv1011,Cello,baroque
bachjs-bwv1012-bwv-1012-1-bwv-1012-1,BachJS,Cello Suite VI - BWV 1012 - Prélude,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1012/bwv-1012-1/bwv-1012-1.ly,Creative Commons Attribution-ShareAlike 3.0,,bachjs-bwv1012,Cello,baroque
bachjs-bwv1012-bwv-1012-2-bwv-1012-2,BachJS,Cello Suite VI - BWV 1012 - Allemande,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1012/bwv-1012-2/bwv-1012-2.ly,Creative Commons Attribution-ShareAlike 3.0,,bachjs-bwv1012,Cello,baroque
bachjs-bwv1012-bwv-1012-3-bwv-1012-3,BachJS,Cello Suite VI - BWV 1012 - Courante,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1012/bwv-1012-3/bwv-1012-3.ly,Creative Commons Attribution-ShareAlike 3.0,,bachjs-bwv1012,Cello,baroque
bachjs-bwv1012-bwv-1012-4-bwv-1012-4,BachJS,Cello Suite VI - BWV 1012 - Sarabande,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1012/bwv-1012-4/bwv-1012-4.ly,Creative Commons Attribution-ShareAlike 3.0,,bachjs-bwv1012,Cello,baroque
bachjs-bwv1012-bwv-1012-5-1-bwv-1012-5-1,BachJS,Cello Suite VI - BWV 1012 - Gavotte I,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1012/bwv-1012-5-1/bwv-1012-5-1.ly,Creative Commons Attribution-ShareAlike 3.0,,bachjs-bwv1012,Cello,baroque
bachjs-bwv1012-bwv-1012-5-2-bwv-1012-5-2,BachJS,Cello Suite VI - BWV 1012 - Gavotte II,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1012/bwv-1012-5-2/bwv-1012-5-2.ly,Creative Commons Attribution-ShareAlike 3.0,,bachjs-bwv1012,Cello,baroque
bachjs-bwv1012-bwv-1012-6-bwv-1012-6,BachJS,Cello Suite VI - BWV 1012 - Gigue,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1012/bwv-1012-6/bwv-1012-6.ly,Creative Commons Attribution-ShareAlike 3.0,,bachjs-bwv1012,Cello,baroque
bachjs-bwv1012-bwv1012-transposed-lys-bwv1012-viola,,BWV1012 bwv1012_transposed-lys,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1012/bwv1012_transposed/bwv1012_transposed-lys/bwv1012-viola.ly,Public Domain,,bachjs-bwv1012,,
bachjs-bwv1012-bwv1012-transposed-lys-bwv1012-transposed,,BWV1012 bwv1012_transposed-lys,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1012/bwv1012_transposed/bwv1012_transposed-lys/bwv1012_transposed.ly,Public Domain,,bachjs-bwv1012,,
bachjs-bwv846-wtk1-fugue1-wtk1-fugue1,BachJS,"Das Wohltemperierte Clavier I, Fuga I",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV846/wtk1-fugue1/wtk1-fugue1.ly,Public Domain,,bachjs-bwv846,"Harpsichord, Piano",baroque
bachjs-bwv846-wtk1-prelude1-wtk1-prelude1,BachJS,"Das Wohltemperierte Clavier I, Praeludium I",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV846/wtk1-prelude1/wtk1-prelude1.ly,Public Domain,,bachjs-bwv846,"Harpsichord, Piano",baroque
bachjs-bwv847-bwv847a-bwv847a,BachJS,"Das Wohltemperierte Clavier I, Praeludium II",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV847/bwv847a/bwv847a.ly,Public Domain,,bachjs-bwv847,"Harpsichord, Piano",baroque
bachjs-bwv847-fuga2-fuga2,BachJS,"Das Wohltemperierte Clavier I, Fuga II",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV847/fuga2/fuga2.ly,Public Domain,,bachjs-bwv847,"Harpsichord, Piano",baroque
bachjs-bwv848-bwv848a-bwv848a,BachJS,"Das Wohltemperierte Clavier I, Praeludium III",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV848/bwv848a/bwv848a.ly,Public Domain,,bachjs-bwv848,"Harpsichord, Piano",baroque
bachjs-bwv848-bwv848b-bwv848b,BachJS,"Das Wohltemperierte Clavier I, Fuga III",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV848/bwv848b/bwv848b.ly,Public Domain,,bachjs-bwv848,"Harpsichord, Piano",baroque
bachjs-bwv849-bwv849a-bwv849a,BachJS,"Das Wohltemperierte Clavier I, Praeludium IV",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV849/bwv849a/bwv849a.ly,Public Domain,,bachjs-bwv849,"Harpsichord, Piano",baroque
bachjs-bwv849-bwv849b-bwv849b,BachJS,"Das Wohltemperierte Clavier I, Fuga IV",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV849/bwv849b/bwv849b.ly,Public Domain,,bachjs-bwv849,"Harpsichord, Piano",baroque
bachjs-bwv850-bwv850a-lys-bwv850a,BachJS,"Das Wohltemperierte Clavier I, Praeludium V",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV850/bwv850a/bwv850a-lys/bwv850a.ly,Public Domain,,bachjs-bwv850,"Harpsichord, Piano",baroque
bachjs-bwv850-bwv850b-lys-bwv850b,BachJS,"Das Wohltemperierte Clavier I, Fuga V",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV850/bwv850b/bwv850b-lys/bwv850b.ly,Public Domain,,bachjs-bwv850,"Harpsichord, Piano",baroque
bachjs-bwv851-bwv851-fugue06-bwv851-fugue06,BachJS,"Das Wohltemperierte Clavier I, Fuga VI",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV851/bwv851_fugue06/bwv851_fugue06.ly,Public Domain,,bachjs-bwv851,"Harpsichord, Piano",classical
bachjs-bwv851-bwv851a-bwv851a,BachJS,"Das Wohltemperierte Clavier I, Praeludium VI",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV851/bwv851a/bwv851a.ly,Public Domain,,bachjs-bwv851,"Harpsichord, Piano",baroque
bachjs-bwv853-bwv853a-bwv853a,BachJS,"Das Wohltemperierte Clavier I, Praeludium VIII",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV853/bwv853a/bwv853a.ly,Public Domain,,bachjs-bwv853,"Harpsichord, Piano",baroque
bachjs-bwv853-bwv853b-bwv853b,BachJS,"Das Wohltemperierte Clavier I, Fuga VIII",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV853/bwv853b/bwv853b.ly,Public Domain,,bachjs-bwv853,"Harpsichord, Piano",baroque
bachjs-bwv854-bwv854-praeludium-ix-rh-bwv854-praeludium-ix-rh,BachJS,Praeludium IX,1722,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV854/BWV854_Praeludium_IX_rh/BWV854_Praeludium_IX_rh.ly,Public Domain,,bachjs-bwv854,"Piano, Harpsichord",baroque
bachjs-bwv855-bwv855a-bwv855a,BachJS,"Das Wohltemperierte Clavier I, Praeludium X",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV855/bwv855a/bwv855a.ly,Public Domain,,bachjs-bwv855,"Harpsichord, Piano",baroque
bachjs-bwv855-bwv855b-bwv855b,BachJS,"Das Wohltemperierte Clavier I, Fuga X",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV855/bwv855b/bwv855b.ly,Public Domain,,bachjs-bwv855,"Harpsichord, Piano",baroque
bachjs-bwv856-bwv856-fugue11-bwv856-fugue11,BachJS,"Das Wohltemperierte Clavier I, Fuga XI",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV856/BWV856_Fugue11/BWV856_Fugue11.ly,Public Domain,,bachjs-bwv856,"Harpsichord, Piano",classical
bachjs-bwv856-bwv856-praeludium11-bwv856-praeludium11,BachJS,"Das Wohltemperierte Clavier I, Praeludium XI",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV856/BWV856_Praeludium11/BWV856_Praeludium11.ly,Public Domain,,bachjs-bwv856,"Harpsichord, Piano",classical
bachjs-bwv857-bwv857-fuga12-bwv857-fuga12,BachJS,"Das Wohltemperierte Clavier I, Fuga XII",1722,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV857/BWV857_Fuga12/BWV857_Fuga12.ly,Public Domain,,bachjs-bwv857,"Harpsichord, Piano",baroque
bachjs-bwv857-bwv857-praeludium12-bwv857-praeludium12,BachJS,"Das Wohltemperierte Clavier I, Praeludium XII",1722,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV857/BWV857_Praeludium12/BWV857_Praeludium12.ly,Public Domain,,bachjs-bwv857,"Harpsichord, Piano",baroque
